schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf
12/19/21,2021,15,LAR,,,SEA,,,TRUE,TRUE
12/19/21,2021,15,TB,,,NO,,,TRUE,TRUE
12/20/21,2021,15,CHI,,,MIN,,,TRUE,TRUE
12/23/21,2021,16,TEN,,,SF,,,FALSE,FALSE
12/25/21,2021,16,GB,,,CLE,,,FALSE,FALSE
12/25/21,2021,16,ARI,,,IND,,,FALSE,FALSE
12/26/21,2021,16,ATL,,,DET,,,FALSE,TRUE
12/26/21,2021,16,CAR,,,TB,,,TRUE,TRUE
12/26/21,2021,16,CIN,,,BAL,,,TRUE,TRUE
12/26/21,2021,16,HOU,,,LAC,,,FALSE,TRUE
12/26/21,2021,16,MIN,,,LAR,,,FALSE,TRUE
12/26/21,2021,16,NE,,,BUF,,,TRUE,TRUE
12/26/21,2021,16,NYJ,,,JAX,,,FALSE,TRUE
12/26/21,2021,16,PHI,,,NYG,,,TRUE,TRUE
12/26/21,2021,16,SEA,,,CHI,,,FALSE,TRUE
12/26/21,2021,16,KC,,,PIT,,,FALSE,TRUE
12/26/21,2021,16,LVR,,,DEN,,,TRUE,TRUE
12/26/21,2021,16,DAL,,,WAS,,,TRUE,TRUE
12/27/21,2021,16,NO,,,MIA,,,FALSE,FALSE
1/2/22,2021,17,BUF,,,ATL,,,FALSE,FALSE
1/2/21,2021,17,CHI,,,NYG,,,FALSE,TRUE
1/2/21,2021,17,CIN,,,KC,,,FALSE,TRUE
1/2/21,2021,17,IND,,,LVR,,,FALSE,TRUE
1/2/21,2021,17,DAL,,,ARI,,,FALSE,TRUE
1/2/21,2021,17,NO,,,CAR,,,TRUE,TRUE
1/2/21,2021,17,NE,,,JAX,,,FALSE,TRUE
1/2/21,2021,17,NYJ,,,TB,,,FALSE,FALSE
1/2/21,2021,17,TEN,,,MIA,,,FALSE,TRUE
1/2/21,2021,17,WAS,,,PHI,,,TRUE,TRUE
1/2/21,2021,17,LAC,,,DEN,,,TRUE,TRUE
1/2/21,2021,17,SF,,,HOU,,,FALSE,FALSE
1/2/21,2021,17,BAL,,,LAR,,,FALSE,FALSE
1/2/21,2021,17,SEA,,,DET,,,FALSE,TRUE
1/2/21,2021,17,GB,,,MIN,,,TRUE,TRUE
1/3/21,2021,17,PIT,,,CLE,,,TRUE,TRUE
1/9/21,2021,18,ATL,,,NO,,,TRUE,TRUE
1/9/21,2021,18,BUF,,,NYJ,,,TRUE,TRUE
1/9/21,2021,18,CLE,,,CIN,,,TRUE,TRUE
1/9/21,2021,18,DET,,,GB,,,TRUE,TRUE
1/9/21,2021,18,HOU,,,TEN,,,TRUE,TRUE
1/9/21,2021,18,JAX,,,IND,,,TRUE,TRUE
1/9/21,2021,18,MIA,,,NE,,,TRUE,TRUE
1/9/21,2021,18,MIN,,,CHI,,,TRUE,TRUE
1/9/21,2021,18,NYG,,,WAS,,,TRUE,TRUE
1/9/21,2021,18,PHI,,,DAL,,,TRUE,TRUE
1/9/21,2021,18,BAL,,,PIT,,,TRUE,TRUE
1/9/21,2021,18,TB,,,CAR,,,TRUE,TRUE
1/9/21,2021,18,ARI,,,SEA,,,TRUE,TRUE
1/9/21,2021,18,DEN,,,KC,,,TRUE,TRUE
1/9/21,2021,18,LVR,,,LAC,,,TRUE,TRUE
1/9/21,2021,18,LAR,,,SF,,,TRUE,TRUE
